observation_date,DCSTHPI
2000-01-01,234.88
2000-04-01,243.66
2000-07-01,251.32
2000-10-01,255.76
2001-01-01,266.77
2001-04-01,279.01
2001-07-01,290.56
2001-10-01,299.23
2002-01-01,308.87
2002-04-01,319.94
2002-07-01,334.92
2002-10-01,344.79
2003-01-01,352.59
2003-04-01,359.38
2003-07-01,370.74
2003-10-01,390.25
2004-01-01,405.53
2004-04-01,425.80
2004-07-01,455.32
2004-10-01,479.91
2005-01-01,501.54
2005-04-01,530.91
2005-07-01,563.06
2005-10-01,591.18
2006-01-01,600.20
2006-04-01,607.57
2006-07-01,613.60
2006-10-01,624.72
2007-01-01,629.82
2007-04-01,629.24
2007-07-01,630.43
2007-10-01,623.70
2008-01-01,611.53
2008-04-01,595.47
2008-07-01,581.63
2008-10-01,574.70
2009-01-01,577.25
2009-04-01,560.08
2009-07-01,555.25
2009-10-01,562.53
2010-01-01,556.08
2010-04-01,558.88
2010-07-01,567.55
2010-10-01,567.26
2011-01-01,559.34
2011-04-01,567.51
2011-07-01,569.86
2011-10-01,576.33
2012-01-01,579.88
2012-04-01,584.10
2012-07-01,593.83
2012-10-01,604.93
