observation_date,FLSTHPI
2000-01-01,200.86
2000-04-01,204.52
2000-07-01,208.82
2000-10-01,213.18
2001-01-01,219.33
2001-04-01,224.85
2001-07-01,229.99
2001-10-01,235.55
2002-01-01,240.22
2002-04-01,247.56
2002-07-01,254.53
2002-10-01,260.31
2003-01-01,265.87
2003-04-01,272.28
2003-07-01,278.80
2003-10-01,291.78
2004-01-01,300.62
2004-04-01,314.74
2004-07-01,334.52
2004-10-01,349.82
2005-01-01,368.53
2005-04-01,396.12
2005-07-01,423.71
2005-10-01,446.04
2006-01-01,463.61
2006-04-01,473.41
2006-07-01,476.89
2006-10-01,480.18
2007-01-01,477.34
2007-04-01,471.09
2007-07-01,454.22
2007-10-01,442.75
2008-01-01,424.96
2008-04-01,395.56
2008-07-01,363.46
2008-10-01,345.14
2009-01-01,350.65
2009-04-01,332.75
2009-07-01,313.63
2009-10-01,305.66
2010-01-01,299.92
2010-04-01,291.56
2010-07-01,294.96
2010-10-01,289.67
2011-01-01,275.89
2011-04-01,267.44
2011-07-01,270.22
2011-10-01,272.66
2012-01-01,267.27
2012-04-01,265.40
2012-07-01,271.61
2012-10-01,275.47
