observation_date,GASTHPI
2000-01-01,229.90
2000-04-01,233.66
2000-07-01,237.42
2000-10-01,241.28
2001-01-01,248.08
2001-04-01,251.07
2001-07-01,254.33
2001-10-01,257.62
2002-01-01,259.79
2002-04-01,261.78
2002-07-01,266.07
2002-10-01,269.15
2003-01-01,271.19
2003-04-01,272.99
2003-07-01,274.65
2003-10-01,278.22
2004-01-01,282.03
2004-04-01,284.04
2004-07-01,288.00
2004-10-01,292.52
2005-01-01,296.31
2005-04-01,300.14
2005-07-01,305.20
2005-10-01,309.32
2006-01-01,312.32
2006-04-01,314.23
2006-07-01,316.73
2006-10-01,322.77
2007-01-01,325.38
2007-04-01,326.43
2007-07-01,324.38
2007-10-01,326.55
2008-01-01,326.80
2008-04-01,321.80
2008-07-01,313.11
2008-10-01,311.73
2009-01-01,318.51
2009-04-01,308.83
2009-07-01,296.28
2009-10-01,291.96
2010-01-01,286.35
2010-04-01,280.09
2010-07-01,282.92
2010-10-01,279.12
2011-01-01,269.02
2011-04-01,257.43
2011-07-01,258.83
2011-10-01,258.35
2012-01-01,251.68
2012-04-01,247.12
2012-07-01,250.30
2012-10-01,253.34
