observation_date,HISTHPI
2000-01-01,229.97
2000-04-01,229.89
2000-07-01,232.81
2000-10-01,238.34
2001-01-01,246.07
2001-04-01,249.86
2001-07-01,253.98
2001-10-01,257.97
2002-01-01,261.90
2002-04-01,267.67
2002-07-01,275.94
2002-10-01,279.55
2003-01-01,287.58
2003-04-01,294.65
2003-07-01,303.03
2003-10-01,320.20
2004-01-01,335.36
2004-04-01,354.19
2004-07-01,388.13
2004-10-01,402.64
2005-01-01,421.71
2005-04-01,446.50
2005-07-01,474.40
2005-10-01,501.09
2006-01-01,519.58
2006-04-01,524.53
2006-07-01,534.31
2006-10-01,531.91
2007-01-01,539.41
2007-04-01,540.39
2007-07-01,537.54
2007-10-01,535.66
2008-01-01,530.36
2008-04-01,519.51
2008-07-01,503.42
2008-10-01,494.75
2009-01-01,491.41
2009-04-01,470.71
2009-07-01,457.19
2009-10-01,450.53
2010-01-01,449.83
2010-04-01,446.77
2010-07-01,449.53
2010-10-01,449.86
2011-01-01,440.51
2011-04-01,440.84
2011-07-01,443.78
2011-10-01,443.91
2012-01-01,445.47
2012-04-01,442.39
2012-07-01,450.30
2012-10-01,454.69
