observation_date,LASTHPI
2000-01-01,160.28
2000-04-01,160.89
2000-07-01,162.80
2000-10-01,164.19
2001-01-01,168.47
2001-04-01,170.16
2001-07-01,171.75
2001-10-01,173.37
2002-01-01,174.30
2002-04-01,175.70
2002-07-01,178.78
2002-10-01,181.43
2003-01-01,183.36
2003-04-01,185.26
2003-07-01,186.96
2003-10-01,190.08
2004-01-01,192.23
2004-04-01,195.17
2004-07-01,198.38
2004-10-01,201.18
2005-01-01,203.33
2005-04-01,207.54
2005-07-01,211.53
2005-10-01,218.69
2006-01-01,225.34
2006-04-01,231.18
2006-07-01,236.05
2006-10-01,239.91
2007-01-01,242.47
2007-04-01,244.83
2007-07-01,246.09
2007-10-01,247.04
2008-01-01,247.56
2008-04-01,247.25
2008-07-01,244.14
2008-10-01,244.94
2009-01-01,248.21
2009-04-01,246.38
2009-07-01,242.95
2009-10-01,243.28
2010-01-01,241.19
2010-04-01,239.93
2010-07-01,242.88
2010-10-01,242.39
2011-01-01,238.79
2011-04-01,237.76
2011-07-01,237.97
2011-10-01,240.99
2012-01-01,239.72
2012-04-01,240.30
2012-07-01,243.89
2012-10-01,243.88
