observation_date,MESTHPI
2000-01-01,272.54
2000-04-01,280.07
2000-07-01,286.27
2000-10-01,292.22
2001-01-01,300.52
2001-04-01,306.15
2001-07-01,315.46
2001-10-01,320.32
2002-01-01,327.48
2002-04-01,337.54
2002-07-01,347.22
2002-10-01,353.59
2003-01-01,360.17
2003-04-01,365.43
2003-07-01,375.92
2003-10-01,390.03
2004-01-01,399.01
2004-04-01,410.36
2004-07-01,429.98
2004-10-01,439.16
2005-01-01,451.87
2005-04-01,462.09
2005-07-01,474.09
2005-10-01,481.63
2006-01-01,485.85
2006-04-01,483.23
2006-07-01,486.05
2006-10-01,493.65
2007-01-01,496.88
2007-04-01,493.52
2007-07-01,490.39
2007-10-01,496.52
2008-01-01,498.67
2008-04-01,490.38
2008-07-01,479.18
2008-10-01,476.04
2009-01-01,480.36
2009-04-01,469.71
2009-07-01,458.93
2009-10-01,453.72
2010-01-01,451.25
2010-04-01,445.39
2010-07-01,450.47
2010-10-01,451.53
2011-01-01,444.45
2011-04-01,436.31
2011-07-01,440.19
2011-10-01,443.15
2012-01-01,438.38
2012-04-01,433.28
2012-07-01,434.64
2012-10-01,435.65
