observation_date,MNSTHPI
2000-01-01,224.84
2000-04-01,231.43
2000-07-01,237.20
2000-10-01,241.76
2001-01-01,248.20
2001-04-01,254.86
2001-07-01,262.56
2001-10-01,266.07
2002-01-01,271.62
2002-04-01,278.90
2002-07-01,284.89
2002-10-01,289.29
2003-01-01,293.30
2003-04-01,296.69
2003-07-01,303.62
2003-10-01,314.58
2004-01-01,318.38
2004-04-01,324.60
2004-07-01,335.54
2004-10-01,340.44
2005-01-01,347.08
2005-04-01,354.10
2005-07-01,360.63
2005-10-01,364.67
2006-01-01,366.45
2006-04-01,364.48
2006-07-01,364.80
2006-10-01,368.67
2007-01-01,370.67
2007-04-01,366.66
2007-07-01,358.99
2007-10-01,357.67
2008-01-01,359.16
2008-04-01,348.12
2008-07-01,337.57
2008-10-01,336.58
2009-01-01,342.54
2009-04-01,332.58
2009-07-01,319.18
2009-10-01,314.91
2010-01-01,310.25
2010-04-01,307.39
2010-07-01,314.30
2010-10-01,310.16
2011-01-01,297.27
2011-04-01,290.51
2011-07-01,294.19
2011-10-01,297.16
2012-01-01,291.68
2012-04-01,289.76
2012-07-01,294.41
2012-10-01,297.66
