observation_date,MOSTHPI
2000-01-01,207.63
2000-04-01,210.19
2000-07-01,213.58
2000-10-01,216.18
2001-01-01,219.84
2001-04-01,223.15
2001-07-01,226.42
2001-10-01,228.66
2002-01-01,232.36
2002-04-01,235.41
2002-07-01,238.36
2002-10-01,241.26
2003-01-01,243.35
2003-04-01,245.08
2003-07-01,248.09
2003-10-01,253.72
2004-01-01,256.76
2004-04-01,260.15
2004-07-01,266.14
2004-10-01,269.71
2005-01-01,274.26
2005-04-01,278.37
2005-07-01,283.27
2005-10-01,286.45
2006-01-01,289.16
2006-04-01,289.62
2006-07-01,292.28
2006-10-01,295.76
2007-01-01,297.12
2007-04-01,297.48
2007-07-01,295.87
2007-10-01,297.13
2008-01-01,297.45
2008-04-01,293.43
2008-07-01,288.54
2008-10-01,289.18
2009-01-01,291.59
2009-04-01,286.81
2009-07-01,280.21
2009-10-01,279.00
2010-01-01,276.75
2010-04-01,274.91
2010-07-01,277.85
2010-10-01,276.02
2011-01-01,269.04
2011-04-01,264.86
2011-07-01,268.52
2011-10-01,269.89
2012-01-01,267.57
2012-04-01,264.95
2012-07-01,267.90
2012-10-01,268.19
