observation_date,MTSTHPI
2000-01-01,199.41
2000-04-01,201.05
2000-07-01,204.01
2000-10-01,206.77
2001-01-01,210.86
2001-04-01,213.39
2001-07-01,215.44
2001-10-01,216.91
2002-01-01,221.66
2002-04-01,223.67
2002-07-01,228.08
2002-10-01,230.15
2003-01-01,232.63
2003-04-01,237.32
2003-07-01,242.59
2003-10-01,248.89
2004-01-01,253.20
2004-04-01,259.49
2004-07-01,268.53
2004-10-01,274.66
2005-01-01,281.98
2005-04-01,292.74
2005-07-01,301.58
2005-10-01,311.41
2006-01-01,317.79
2006-04-01,327.77
2006-07-01,335.93
2006-10-01,342.35
2007-01-01,348.76
2007-04-01,353.35
2007-07-01,356.98
2007-10-01,359.39
2008-01-01,363.01
2008-04-01,361.00
2008-07-01,355.27
2008-10-01,358.83
2009-01-01,360.36
2009-04-01,355.40
2009-07-01,347.19
2009-10-01,345.02
2010-01-01,338.32
2010-04-01,334.79
2010-07-01,338.95
2010-10-01,337.90
2011-01-01,327.49
2011-04-01,326.48
2011-07-01,327.94
2011-10-01,329.44
2012-01-01,331.08
2012-04-01,330.45
2012-07-01,333.44
2012-10-01,338.11
