observation_date,NESTHPI
2000-01-01,198.57
2000-04-01,201.36
2000-07-01,203.23
2000-10-01,204.77
2001-01-01,207.40
2001-04-01,209.67
2001-07-01,211.47
2001-10-01,213.19
2002-01-01,214.82
2002-04-01,216.22
2002-07-01,218.29
2002-10-01,219.74
2003-01-01,220.88
2003-04-01,222.14
2003-07-01,224.54
2003-10-01,228.13
2004-01-01,229.31
2004-04-01,232.57
2004-07-01,237.28
2004-10-01,239.20
2005-01-01,240.72
2005-04-01,244.24
2005-07-01,247.69
2005-10-01,246.93
2006-01-01,247.12
2006-04-01,249.41
2006-07-01,250.58
2006-10-01,250.74
2007-01-01,251.78
2007-04-01,253.58
2007-07-01,252.52
2007-10-01,252.05
2008-01-01,253.98
2008-04-01,252.06
2008-07-01,249.87
2008-10-01,251.04
2009-01-01,253.13
2009-04-01,252.03
2009-07-01,249.55
2009-10-01,249.35
2010-01-01,247.11
2010-04-01,248.88
2010-07-01,251.16
2010-10-01,249.77
2011-01-01,247.63
2011-04-01,246.67
2011-07-01,249.23
2011-10-01,250.81
2012-01-01,250.49
2012-04-01,250.90
2012-07-01,251.98
2012-10-01,253.31
