observation_date,PASTHPI
2000-01-01,235.32
2000-04-01,238.76
2000-07-01,241.31
2000-10-01,244.14
2001-01-01,250.52
2001-04-01,254.50
2001-07-01,257.84
2001-10-01,261.16
2002-01-01,265.14
2002-04-01,269.85
2002-07-01,275.36
2002-10-01,280.11
2003-01-01,283.30
2003-04-01,286.99
2003-07-01,293.00
2003-10-01,301.51
2004-01-01,306.87
2004-04-01,314.88
2004-07-01,327.92
2004-10-01,335.20
2005-01-01,342.15
2005-04-01,353.88
2005-07-01,365.51
2005-10-01,373.12
2006-01-01,379.78
2006-04-01,383.96
2006-07-01,388.25
2006-10-01,392.93
2007-01-01,396.33
2007-04-01,397.97
2007-07-01,396.15
2007-10-01,397.83
2008-01-01,400.74
2008-04-01,395.74
2008-07-01,388.92
2008-10-01,388.39
2009-01-01,392.30
2009-04-01,386.51
2009-07-01,379.28
2009-10-01,377.91
2010-01-01,375.45
2010-04-01,373.50
2010-07-01,377.94
2010-10-01,377.00
2011-01-01,371.15
2011-04-01,365.97
2011-07-01,366.53
2011-10-01,367.92
2012-01-01,364.90
2012-04-01,363.16
2012-07-01,365.12
2012-10-01,366.15
