observation_date,RISTHPI
2000-01-01,276.78
2000-04-01,285.57
2000-07-01,294.61
2000-10-01,300.09
2001-01-01,306.07
2001-04-01,316.60
2001-07-01,328.78
2001-10-01,335.72
2002-01-01,348.58
2002-04-01,365.82
2002-07-01,379.74
2002-10-01,391.60
2003-01-01,403.23
2003-04-01,412.81
2003-07-01,430.08
2003-10-01,458.27
2004-01-01,469.16
2004-04-01,490.35
2004-07-01,524.90
2004-10-01,538.55
2005-01-01,549.63
2005-04-01,572.02
2005-07-01,584.55
2005-10-01,593.69
2006-01-01,598.97
2006-04-01,598.99
2006-07-01,597.44
2006-10-01,597.07
2007-01-01,597.02
2007-04-01,585.94
2007-07-01,574.63
2007-10-01,572.28
2008-01-01,565.86
2008-04-01,543.34
2008-07-01,518.83
2008-10-01,512.55
2009-01-01,515.59
2009-04-01,492.59
2009-07-01,480.17
2009-10-01,480.27
2010-01-01,472.85
2010-04-01,465.72
2010-07-01,472.96
2010-10-01,471.91
2011-01-01,460.43
2011-04-01,444.71
2011-07-01,445.62
2011-10-01,448.82
2012-01-01,441.66
2012-04-01,433.69
2012-07-01,435.44
2012-10-01,437.81
