observation_date,SCSTHPI
2000-01-01,231.00
2000-04-01,233.87
2000-07-01,236.60
2000-10-01,239.95
2001-01-01,246.14
2001-04-01,248.97
2001-07-01,250.76
2001-10-01,253.75
2002-01-01,255.17
2002-04-01,256.64
2002-07-01,260.64
2002-10-01,262.89
2003-01-01,264.33
2003-04-01,267.05
2003-07-01,268.62
2003-10-01,271.17
2004-01-01,274.18
2004-04-01,276.64
2004-07-01,281.89
2004-10-01,287.13
2005-01-01,291.99
2005-04-01,297.14
2005-07-01,304.70
2005-10-01,311.18
2006-01-01,315.66
2006-04-01,321.15
2006-07-01,325.83
2006-10-01,333.89
2007-01-01,335.78
2007-04-01,338.27
2007-07-01,337.95
2007-10-01,342.46
2008-01-01,344.84
2008-04-01,342.94
2008-07-01,336.77
2008-10-01,337.82
2009-01-01,341.91
2009-04-01,337.62
2009-07-01,327.61
2009-10-01,323.79
2010-01-01,319.58
2010-04-01,314.60
2010-07-01,319.27
2010-10-01,316.71
2011-01-01,308.36
2011-04-01,300.82
2011-07-01,303.17
2011-10-01,306.50
2012-01-01,301.26
2012-04-01,299.93
2012-07-01,302.09
2012-10-01,302.24
