observation_date,WISTHPI
2000-01-01,227.77
2000-04-01,228.98
2000-07-01,232.30
2000-10-01,235.16
2001-01-01,238.71
2001-04-01,241.92
2001-07-01,245.13
2001-10-01,246.94
2002-01-01,251.01
2002-04-01,254.48
2002-07-01,257.15
2002-10-01,259.00
2003-01-01,261.71
2003-04-01,264.01
2003-07-01,268.02
2003-10-01,276.77
2004-01-01,278.94
2004-04-01,284.60
2004-07-01,295.07
2004-10-01,298.51
2005-01-01,304.06
2005-04-01,309.42
2005-07-01,315.41
2005-10-01,318.64
2006-01-01,321.00
2006-04-01,320.52
2006-07-01,322.19
2006-10-01,326.12
2007-01-01,327.35
2007-04-01,326.88
2007-07-01,325.03
2007-10-01,326.80
2008-01-01,327.60
2008-04-01,322.69
2008-07-01,316.97
2008-10-01,317.59
2009-01-01,319.09
2009-04-01,314.28
2009-07-01,307.35
2009-10-01,306.49
2010-01-01,302.53
2010-04-01,300.75
2010-07-01,303.88
2010-10-01,301.92
2011-01-01,295.23
2011-04-01,290.30
2011-07-01,292.98
2011-10-01,294.07
2012-01-01,291.31
2012-04-01,288.91
2012-07-01,291.62
2012-10-01,291.60
